PIN CODE,count
560064,1681
560091,1531
560073,1182
560058,1139
560037,876
560066,853
560043,811
560083,759
560068,758
560076,749
560097,670
560077,668
560049,662
560036,629
560048,570
560057,552
560079,546
560098,498
560078,494
560022,489
560032,479
560085,475
560056,474
560016,460
560114,427
560045,421
560072,414
560061,412
560015,400
562162,396
560092,376
560040,374
560062,360
560090,357
560094,356
560013,354
560096,351
560109,349
560086,336
560054,303
560026,302
560033,280
560010,276
560113,275
560075,260
560100,248
560102,243
560067,241
560070,234
560005,233
560003,223
560041,219
560017,209
560050,202
560111,191
560024,188
560095,187
560006,184
560011,182
560004,182
560093,156
560060,142
560038,142
562157,138
560034,137
560082,135
562130,135
560030,131
560084,128
560087,128
560108,113
560029,112
560110,104
560047,104
560063,100
560119,97
560008,88
560065,88
560089,74
562123,73
560021,70
560112,69
560105,67
560080,66
560115,59
560104,53
560071,52
560027,47
560055,44
560107,36
560020,36
560001,32
560039,31
562149,28
560103,22
560046,18
560052,17
560023,16
562114,15
560074,13
560069,13
560053,13
560019,8
560009,8
560035,7
560028,7
560014,6
560088,6
560012,5
560044,5
560059,5
560007,5
560002,5
560018,5
560042,5
562110,4
562129,4
560051,4
562159,4
561203,3
560099,2
560106,2
560123,2
562167,2
572102,2
560031,2
530017,2
99009,2
572132,2
788150,2
562160,2
570001,2
560162,2
590077,2
560025,2
754245,1
855108,1
585416,1
571440,1
583281,1
400052,1
103104,1
560000,1
584122,1
855107,1
562117,1
566066,1
250056,1
590048,1
563101,1
784114,1
560949,1
566049,1
540046,1
561162,1
572223,1
566002,1
571428,1
561230,1
562111,1
562191,1
590061,1
731221,1
572101,1
562091,1
577429,1
562163,1
562120,1
570073,1
573116,1
570033,1
334296,1
75811,1
573103,1
585224,1
518218,1
26618,1
560274,1
570022,1
577137,1
271502,1
562001,1
566092,1
580064,1
366319,1
556009,1
571417,1
517370,1
503111,1
566083,1
888209,1
201001,1
494061,1
570076,1
577501,1
560983,1
572135,1
577427,1
580076,1
560989,1
562109,1
500076,1
635109,1
560081,1
576076,1
799202,1
562125,1
670602,1
500107,1
568027,1
442401,1
583130,1
570027,1
