BUSINESS NAME,SECTOR,CATEGORY,ADDRESS,ZONE,PIN CODE,RATING,RATING_missing,RATING_filled_mean
ICICI BANK ATM,Others,Finance,"No.24, VGS Layout, 2nd Cross Intermediate 100ft Ring Road, Post, Ejipura, Bengaluru, Karnataka 560047, India",South,560047,5.0,False,5.0
Cuemath Online Tution Center,Others,Educational,"#404 Balaji Greens 10th main, 6th Cross Rd, Near Skanda Pharmacy, S.T. Bed, 4th Block, Koramangala, Bengaluru, Karnataka 560047, India",South,560047,5.0,False,5.0
Saree Pre-Pleating and Drapping by Shashi,Retail,Fashion,"147, 4th A Cross, Nagappa Block, Rajajinagar, Bengaluru, Karnataka 560021, India",North,560021,5.0,False,5.0
BRAND ADDICTION'S,Retail,Fashion,"#2705, 2ndstage, 1, 11th Main Rd, D-Block, Gayatrinagar, Rajajinagar, Bengaluru, Karnataka 560010, India",North,560010,5.0,False,5.0
TRENDY TREASURE,Retail,Fashion,"BWSSB MAIN ROAD, Challaghatta, Bengaluru, Karnataka 560037, India",East,560037,5.0,False,5.0
"Sai Stuti Gastro Liver Endoscopy Clinic - Dr. Kiran S. MBBS, MD, DM, DNB (Gastroenterology)",Medical & Health,Doctor,"37/4/56 Nagarbhavi main road Govindaraj nagar, beside Mangalore Kitchen, North Vijay Nagar, CHBS Layout, Prashant Nagar, Vijayanagar, Bengaluru, Karnataka 560040, India",West,560040,5.0,False,5.0
Akshay Enterprises,Retail,Book_Store,"#885, 2nd Main Rd, Ranganathapura, Govindaraja Nagar Ward, Prashant Nagar, Kamakshipalya, Bengaluru, Karnataka 560079, India",West,560079,5.0,False,5.0
Cakes Against Humanity,Food & Beverages,Bakery,"No. 9/2 Old PID No. 159, Patel Ramaiah Garden, Kothanur, BBMP East, Hennur Bagalur Main Rd, Krishnarajapuram, Bengaluru, Karnataka 560077, India",North,560077,5.0,False,5.0
Bake Mount,Food & Beverages,Bakery,"Alpha Emerald, Raika Rd, Narayanapura, Bengaluru, Karnataka 560077, India",North,560077,5.0,False,5.0
UPASANA BOOKS,Retail,Stationery,"4193, 1st Main Rd, E block, Subramanyanagar, E block, 2nd Stage, Rajajinagar, Bengaluru, Karnataka 560021, India",North,560021,5.0,False,5.0
R R Stationary Shop,Retail,Stationery,"7, 1st Main Rd, near Raghavendra Tent House, Lakshminarayanapuram, Rajajinagar, Bengaluru, Karnataka 560058, India",North,560058,5.0,False,5.0
MANJUNATHA BOOK STORE,Retail,Stationery,"67 Srirampura, A Main Rd, near Temple, Prakash Nagar, Rajajinagar, Bengaluru, Karnataka 560086, India",North,560086,5.0,False,5.0
Vasanth Kumar Store,Retail,Stationery,"17, E block, 2nd Stage, Rajajinagar, Bengaluru, Karnataka 560010, India",North,560010,5.0,False,5.0
Manoj appu,Retail,Stationery,"05, 1st K Block, E block, 2nd Stage, Rajajinagar, Bengaluru, Karnataka 560010, India",North,560010,5.0,False,5.0
Harish Upper,Retail,Grocery,"No 11, Main Road, Gayatri Nagar, Rajajinagar, Bengaluru, Karnataka 560021, India",North,560021,5.0,False,5.0
jai sai stationery,Retail,Stationery,"25 1s main road near yellamma temple srinivagilu, post, New Friends Colony, viveknagar, Koramangala, Bengaluru, Karnataka 560047, India",South,560047,5.0,False,5.0
We Touch Solutions | Doorstep Laptop Service | Computer Sales And Rentals | Best Laptop service Center in Koramangala,Retail,Electronics,"3rd floor, Somesh Building, No.9, Intermediate Ring Rd, near Ejipura, New Friends Colony, Signal, Koramangala, Bengaluru, Karnataka 560047, India",South,560047,5.0,False,5.0
Muni Handlooms,Retail,Fashion,"1, 1st Cross Rd, New Friends Colony, S T Bed Layout, Ejipura, Bengaluru, Karnataka 560047, India",South,560047,5.0,False,5.0
Fashion Fancy,Retail,Fashion,"WJPM+G68, 7th Main Rd, New Friends Colony, S T Bed Layout, Ejipura, Bengaluru, Karnataka 560047, India",South,560047,5.0,False,5.0
Textile,Retail,Fashion,"345, E G Puram Cross Rd, New Friends Colony, S T Bed Layout, Viveak Nagar Bangalore, Bengaluru, Karnataka 560047, India",South,560047,5.0,False,5.0
